43.19359800000000,-89.22484000000000,1st Modern Water Tower In Sun Prairie
43.13196500000000,-89.36084200000000,Berkley Park
43.04766900000000,-89.39988600000000,Duane Bowman Field
42.92915600000000,-89.52709200000000,Paoli
43.01917400000000,-89.52452500000000,Unity Point Health Gazebo
43.27873800000000,-89.71916300000000,Sauk Prairie Veterans Memorial
43.07657000000000,-89.43193100000000,Waterfall Fountain
42.92321000000000,-89.21952400000000,Bjoin Park
43.02664100000000,-89.33142400000000,Hilda A. McVoy Memorial Bench
43.02526900000000,-89.48144900000000,Vally Forge Little Free Library
43.07563000000000,-89.43850600000000,La Brioche Fountain 
43.05449300000000,-89.43318000000000,Dudgeon Park
43.26751300000000,-89.73825800000000,St. Aloysius Cemetery
43.06747300000000,-89.50221200000000,Olson Field
43.00121300000000,-89.74561600000000,Sugar River Environmental Corridor
43.16720400000000,-89.36916400000000,Conical Mound
43.07684900000000,-89.39889600000000,Gazebo
43.03240300000000,-89.32723000000000,Artifacts, Lake Farm Archeological District
43.09317100000000,-89.29293300000000,Kennedy Park Pavilion
43.05100400000000,-89.45747600000000,Oak Heights Park
43.10231700000000,-89.49316800000000,Branch Street Bear
43.05038500000000,-89.24605900000000,Hope Lutheran Church
42.91631000000000,-89.22340300000000,Mandt Lodge Dragons
43.07151100000000,-89.47976400000000,Crestwood
43.12281100000000,-89.33709500000000,Fire Department Training Divis
42.99937700000000,-89.37617400000000,Green Vista
43.24920000000000,-89.37002100000000,KOA Campground's Covered Wagon
43.09810800000000,-89.34324300000000,Wirth Court Park Hippo
43.10403600000000,-89.48493900000000,Dinghy
43.14862200000000,-89.28947400000000,Erin's Snug Irish Pub
42.88191200000000,-89.21021900000000,Charlie H Lyon Memorial Park
43.14228000000000,-89.74909500000000,Black Earth Fire Bell
43.03231200000000,-89.29249100000000,Fallen Veteran's Memorial
43.09041500000000,-89.36272300000000,Steensland Bridge (north side)
43.17342100000000,-89.30725300000000,Mr. Fred Memorial Bench
43.05014800000000,-89.32056900000000,The Lord is my Shepherd Mural
43.10946700000000,-89.49822900000000,Middleton Hills Oak Savanna
43.01356900000000,-89.72092000000000,Waltz Park
43.24753800000000,-89.34094600000000,DeForest Area Fire & EMS
43.14793500000000,-89.42002900000000,Aldo Leopold Plaque
43.16709800000000,-89.36476500000000,Cherokee Marsh Conservation Park North Unit
42.99354800000000,-89.51442100000000,Dane County Home
42.93521000000000,-89.40677200000000,First Presbyterian Church
43.07729100000000,-89.40254900000000,Life Guard Memorial
43.03599000000000,-89.41514600000000,Badger Carving
43.00874600000000,-89.73860800000000,Mount Horeb Municipal Center
43.17172300000000,-89.22702100000000,Youth Baseball Complex
42.91231000000000,-89.19909200000000,Lutheran South Columbarium
43.22587200000000,-89.35028300000000,Rivers Turn Park Shelter 
43.12551600000000,-89.37658300000000,Yahara Fishermans Club Dedication
43.07152800000000,-89.33426200000000,Waterman Way Park
43.09662600000000,-89.35406400000000,Path Of Voices 
43.03338300000000,-89.37714100000000,Rimrock Park
43.24538400000000,-89.34400300000000,Christ Lutheran Church
43.07242700000000,-89.50376800000000,Woodland Restoration 
43.28860400000000,-89.70916200000000,Wollersheim Winery Wagon 
42.93329300000000,-89.20259200000000,Viking Dog Park
43.13696400000000,-89.39019100000000,Seas of Grass Troy Gardens Trail Marker
42.91214100000000,-89.22310200000000,Lowell Park
42.91667000000000,-89.21707000000000,Main Street Historic District
43.11170700000000,-89.54005600000000,Steve Adler Field
43.01771700000000,-89.42367900000000,Great Dane Pub Hatchery Hill 
43.07990100000000,-89.36683500000000,Wil-Mar Neighborhood Mural
43.07661200000000,-89.41088300000000,King Hall-Soils
43.07785400000000,-89.37935100000000,WI Manufacturers & Commerce
43.07791800000000,-89.56599400000000,Stone Fence
43.03131900000000,-89.42210400000000,Arbor Hills Greenway
43.06802500000000,-89.42369600000000,Stony Hill Antiques and Gallery
43.07478600000000,-89.56557500000000,Pope Farm Conservancy
43.04394000000000,-89.44416400000000,Westminster Presbyterian Church
43.08718600000000,-89.37650400000000,Giddings Park
43.08426100000000,-89.35555400000000,Morrison Park
43.07669900000000,-89.41334300000000,Sons of Gold Star Mothers Sundial Memorial
43.09140400000000,-89.52734600000000,Greenway Station West Map
43.14111000000000,-89.37661800000000,Lake View Hill Park
43.03163400000000,-89.46627800000000,Apostolic Faith Church
43.07707200000000,-89.38243500000000,Robert Lamp House
43.07476000000000,-89.45154000000000,Painted Polar Bear Bench
43.07807500000000,-89.37204400000000,Madison Candy Company
43.15861900000000,-89.29135100000000,Amfam Fountain
43.05330500000000,-89.45078800000000,Midvale Community Lutheran Church
43.04236200000000,-89.42566200000000,Gallistel Woods Wildflowers
43.11324800000000,-89.30202300000000,Sycamore Dog Park
43.08202500000000,-89.36589000000000,Mother Fools Coffee House Permission Wall
43.27019900000000,-89.73199100000000,Missile-Shaped LP Tank
43.05423200000000,-89.39689300000000,Little Free Library: Literacy Network
43.06678300000000,-89.28733500000000,Orlando Bell Park
43.06734400000000,-89.42948000000000,Forest Hill Cemetery
43.10799600000000,-89.52905500000000,Flyin' Sculpture
43.23804600000000,-89.35621500000000,Upper Yahara River Trail Deforest Area Settlement
43.05386400000000,-89.43745200000000,Glenwood Children's Park
43.09260300000000,-89.33260800000000,Olbrich's Thai Pavilion and Ga
43.09344600000000,-89.34886400000000,Blue Dragon Urn
43.07251000000000,-89.38161900000000,Madison is an Indian mound cap
43.06637700000000,-89.42283200000000,Blessed Sacrament Parish Center 
43.08106100000000,-89.32387800000000,Lake Edge Lutheran Church
